Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan,Station_Name,Country,Province,City,Cnty,Station_Id_d,Lat,Lon,Alti
58015,2022-08-08 07:00:00,997.1,1001.9,997.5,997.1,3.1,5.1,177,198,2.4,180,34.7,34.7,34.4,65,61,0.0,2,46.59,砀山,中国,安徽省,宿州市,砀山县,58015,34.4389,116.3397,42.1
58016,2022-08-08 07:00:00,998.2,1002.2,998.5,998.2,2.7,5.8,205,160,2.2,191,36.1,37.3,36.1,56,52,0.0,2,46.31,萧县,中国,安徽省,宿州市,萧县,58016,34.1803,116.9628,34.9
58116,2022-08-08 07:00:00,998.5,1002.3,998.8,998.5,3.3,5.9,197,183,2.8,192,35.9,36.2,35.6,61,57,0.0,2,48.37,淮北,中国,安徽省,淮北市,杜集区,58116,34.0333,116.8689,32.9
58012,2022-08-08 07:00:00,997.7,1002.5,998.0,997.7,2.6,4.4,155,183,1.7,161,34.4,34.5,34.1,72,71,0.0,2,49.25,丰县,中国,江苏省,徐州市,丰县,58012,34.6719,116.6561,42.0
58013,2022-08-08 07:00:00,998.4,1002.6,998.7,998.4,2.3,3.6,200,209,1.6,208,34.5,34.5,34.3,64,62,0.0,1,45.46,沛县,中国,江苏省,徐州市,沛县,58013,34.7533,116.9058,36.5
58026,2022-08-08 07:00:00,999.8,1002.8,1000.2,999.8,3.7,6.7,206,205,3.4,214,37.1,37.2,36.1,52,49,0.0,3,47.11,邳州,中国,江苏省,徐州市,邳州市,58026,34.3942,118.0189,25.7
58027,2022-08-08 07:00:00,997.7,1002.4,998.0,997.7,2.9,4.6,285,218,1.6,232,36.7,37.3,36.6,51,49,0.0,2,45.46,徐州,中国,江苏省,徐州市,市辖区,58027,34.2872,117.1586,41.2
58035,2022-08-08 07:00:00,999.9,1003.3,999.9,999.8,3.4,6.0,219,209,2.9,232,36.3,36.6,36.1,55,52,0.0,2,46.38,新沂,中国,江苏省,徐州市,新沂市,58035,34.3319,118.3536,29.3
58036,2022-08-08 07:00:00,999.4,1003.2,999.7,999.4,2.3,4.1,204,199,1.8,198,35.6,35.6,35.4,59,59,0.0,2,46.36,东海,中国,江苏省,连云港市,东海县,58036,34.5425,118.7136,32.9
58038,2022-08-08 07:00:00,1002.2,1003.5,1002.6,1002.2,2.9,4.9,192,179,3.6,187,36.5,36.7,36.3,55,54,0.0,2,46.97,沭阳,中国,江苏省,宿迁市,沭阳县,58038,34.0911,118.7836,10.4
58040,2022-08-08 07:00:00,1002.5,1003.2,1002.7,1002.3,3.3,6.2,257,197,2.7,232,35.9,36.5,35.9,58,52,0.0,2,46.75,赣榆,中国,江苏省,连云港市,赣榆区,58040,34.8564,119.1269,5.3
58041,2022-08-08 07:00:00,1000.3,1003.4,1000.8,1000.2,5.4,6.7,126,115,3.9,124,33.6,35.7,33.0,77,68,0.0,3,48.93,西连岛,中国,江苏省,连云港市,连云区,58041,34.7778,119.4425,26.2
58044,2022-08-08 07:00:00,1002.7,1003.4,1003.0,1002.6,3.0,4.6,208,195,2.5,189,35.9,36.4,35.9,61,53,0.0,2,48.37,连云港,中国,江苏省,连云港市,市辖区,58044,34.5489,119.2347,4.7
58045,2022-08-08 07:00:00,1002.9,1003.6,1003.6,1002.9,3.5,5.2,169,190,2.5,177,36.0,36.5,35.7,65,61,0.0,2,51.02,响水,中国,江苏省,盐城市,响水县,58045,34.1142,119.3606,4.4
58047,2022-08-08 07:00:00,1002.6,1003.3,1003.2,1002.6,3.6,6.0,200,183,3.0,201,36.9,37.3,36.8,52,50,0.0,2,46.54,灌云,中国,江苏省,连云港市,灌云县,58047,34.2575,119.2361,4.8
58048,2022-08-08 07:00:00,1002.4,1003.4,1003.1,1002.4,4.0,5.7,160,164,3.7,160,35.5,36.6,35.5,68,50,0.0,3,51.01,灌南,中国,江苏省,连云港市,灌南县,58048,34.0639,119.2928,8.0
58049,2022-08-08 07:00:00,1003.3,1003.9,1004.1,1003.3,2.5,4.8,250,206,1.5,235,36.1,36.4,35.6,65,63,0.0,1,51.38,滨海,中国,江苏省,盐城市,滨海县,58049,34.0164,119.8031,4.1
54709,2022-08-08 07:00:00,1001.5,1004.5,1001.5,1001.2,4.4,7.1,60,59,3.9,59,26.2,27.2,26.2,100,100,0.6,3,29.07,武城,中国,山东省,德州市,武城县,54709,37.2333,116.0667,24.8
54712,2022-08-08 07:00:00,1002.5,1004.7,1002.5,1002.1,4.0,6.6,37,34,4.7,42,26.8,27.0,26.8,100,99,0.7,3,32.25,临邑,中国,山东省,德州市,临邑县,54712,37.2,116.8167,18.5
54714,2022-08-08 07:00:00,1001.7,1004.7,1001.8,1001.5,4.0,6.9,68,56,4.0,53,26.0,26.2,26.0,98,98,0.2,3,28.34,德州,中国,山东省,德州市,德城区,54714,37.35,116.3333,25.4
54715,2022-08-08 07:00:00,1002.8,1004.9,1002.9,1002.5,4.5,7.0,73,64,3.9,67,26.3,26.6,26.2,94,93,0.4,3,29.05,陵城,中国,山东省,临沂市,兰陵县,54715,37.3167,116.5167,17.6
54716,2022-08-08 07:00:00,1003.1,1005.2,1003.1,1002.9,3.8,7.1,68,65,2.6,67,26.6,26.6,26.2,85,83,0.0,2,29.24,宁津,中国,山东省,德州市,宁津县,54716,37.6667,116.8,17.3
54722,2022-08-08 07:00:00,1004.7,1005.6,1004.8,1004.5,5.0,8.3,61,64,4.5,62,26.7,26.9,26.7,90,88,0.0,3,30.28,无棣,中国,山东省,滨州市,无棣县,54722,37.75,117.6333,6.8
54723,2022-08-08 07:00:00,1004.4,1005.7,1004.7,1004.4,3.8,7.6,62,82,4.0,72,26.4,26.6,26.4,83,83,0.0,3,28.64,阳信,中国,山东省,滨州市,阳信县,54723,37.65,117.5667,10.1
54724,2022-08-08 07:00:00,1003.3,1005.1,1003.3,1002.9,3.7,6.8,36,44,2.7,40,26.3,26.5,26.3,95,95,0.9,2,29.11,商河,中国,山东省,济南市,商河县,54724,37.3167,117.1333,14.8
54725,2022-08-08 07:00:00,1003.9,1005.4,1004.1,1003.8,4.0,6.7,50,47,3.6,51,25.9,26.2,25.9,99,99,0.1,3,28.06,惠民,中国,山东省,滨州市,惠民县,54725,37.5,117.5333,11.7
54726,2022-08-08 07:00:00,1003.9,1005.3,1004.2,1003.8,4.0,7.6,59,74,3.4,74,26.7,26.9,26.7,90,90,0.0,2,30.28,乐陵,中国,山东省,德州市,乐陵市,54726,37.7,117.1833,11.5
54727,2022-08-08 07:00:00,974.2,1003.6,974.5,974.1,5.6,8.0,99,79,1.9,98,30.1,30.1,27.8,79,79,0.0,2,37.69,章丘,中国,山东省,济南市,章丘区,54727,36.65,117.5167,263.0
54728,2022-08-08 07:00:00,1004.2,1005.5,1004.5,1004.1,4.5,8.8,82,80,4.6,76,26.6,26.7,26.6,82,82,0.0,3,29.02,庆云,中国,山东省,德州市,庆云县,54728,37.7667,117.35,10.5
54729,2022-08-08 07:00:00,1003.3,1004.7,1003.4,1003.3,3.4,5.7,64,59,2.0,67,27.4,27.7,27.4,94,93,0.0,2,33.01,高青,中国,山东省,淄博市,高青县,54729,37.1667,117.8667,11.5
54734,2022-08-08 07:00:00,1003.2,1005.4,1003.3,1002.9,3.7,6.8,93,53,2.7,52,25.9,26.1,25.8,95,94,0.1,2,27.94,滨州,中国,山东省,滨州市,滨城区,54734,37.35,118.0333,17.8
54736,2022-08-08 07:00:00,1004.5,1005.3,1004.5,1004.2,3.5,7.4,71,40,3.8,71,26.8,27.4,26.8,87,87,0.0,2,30.05,东营,中国,山东省,东营市,东营区,54736,37.4333,118.6667,6.0
54744,2022-08-08 07:00:00,1004.9,1006.0,1004.9,1004.3,4.4,8.6,46,67,3.4,52,26.1,26.9,26.1,83,83,0.1,3,27.99,垦利,中国,山东省,东营市,垦利区,54744,37.5833,118.55,8.5
54749,2022-08-08 07:00:00,998.7,1004.3,998.9,998.5,2.8,4.2,79,62,2.1,79,29.8,29.8,28.1,80,80,0.0,2,37.06,莱州,中国,山东省,烟台市,莱州市,54749,37.1833,119.95,48.4
