Station_Name,Country,Province,City,Cnty,Station_Id_C,Station_Id_d,Lat,Lon,Alti
朝阳,中国,北京市,市辖区,朝阳区,54433,54433,39.9525,116.5008,34.4
丰台,中国,北京市,市辖区,丰台区,54514,54514,39.8703,116.2453,55
石景山,中国,北京市,市辖区,石景山区,54513,54513,39.9425,116.2053,63
海淀,中国,北京市,市辖区,海淀区,54399,54399,39.9869,116.2908,46.3
斋堂,中国,北京市,市辖区,门头沟区,54501,54501,39.9742,115.6917,440.1
门头沟,中国,北京市,市辖区,门头沟区,54505,54505,39.8878,116.1564,85.5
房山,中国,北京市,市辖区,房山区,54596,54596,39.7728,116.1942,48.6
霞云岭,中国,北京市,市辖区,房山区,54597,54597,39.7289,115.7403,408.5
通州,中国,北京市,市辖区,通州区,54431,54431,39.8475,116.7567,19.8
顺义,中国,北京市,市辖区,顺义区,54398,54398,40.1269,116.6153,27.9
昌平,中国,北京市,市辖区,昌平区,54499,54499,40.2233,116.2117,75.7
北京,中国,北京市,市辖区,大兴区,54511,54511,39.8061,116.4694,32.8
大兴,中国,北京市,市辖区,大兴区,54594,54594,39.7186,116.3544,37.5
怀柔,中国,北京市,市辖区,怀柔区,54419,54419,40.3575,116.6272,75.2
平谷,中国,北京市,市辖区,平谷区,54424,54424,40.1694,117.1178,31.1
密云,中国,北京市,市辖区,密云区,54416,54416,40.3775,116.8642,71.4
上甸子,中国,北京市,市辖区,密云区,54421,54421,40.6589,117.1117,292.4
延庆,中国,北京市,市辖区,延庆区,54406,54406,40.4494,115.9689,487.5
东丽,中国,天津市,市辖区,东丽区,54526,54526,39.0836,117.3381,1.9
西青,中国,天津市,市辖区,西青区,54527,54527,39.0833,117.05,3.5
津南,中国,天津市,市辖区,津南区,54622,54622,38.95,117.4181,1.5
北辰,中国,天津市,市辖区,北辰区,54528,54528,39.2369,117.1408,3.4
武清,中国,天津市,市辖区,武清区,54523,54523,39.4275,117.0592,8.2
宝坻,中国,天津市,市辖区,宝坻区,54525,54525,39.7289,117.2786,5.1
汉沽,中国,天津市,市辖区,滨海新区,54530,54530,39.2308,117.775,-0.5
塘沽,中国,天津市,市辖区,滨海新区,54623,54623,39.0442,117.7181,4.8
大港,中国,天津市,市辖区,滨海新区,54645,54645,38.8428,117.4667,2.2
宁河,中国,天津市,市辖区,宁河区,54529,54529,39.375,117.8522,3.1
静海,中国,天津市,市辖区,静海区,54619,54619,38.925,116.9153,5.5
蓟州,中国,天津市,市辖区,蓟州区,54428,54428,40.0478,117.4492,32
藁城,中国,河北省,石家庄市,藁城区,53697,53697,38.0333,114.8333,53.5
栾城,中国,河北省,石家庄市,栾城区,53789,53789,37.8833,114.6333,52.9
井陉,中国,河北省,石家庄市,井陉县,53693,53693,38.0333,114.1333,255.5
正定,中国,河北省,石家庄市,正定县,53691,53691,38.15,114.5667,71
行唐,中国,河北省,石家庄市,行唐县,53688,53688,38.4186,114.5464,100.3
灵寿,中国,河北省,石家庄市,灵寿县,53680,53680,38.3,114.3833,108.9
高邑,中国,河北省,石家庄市,高邑县,53790,53790,37.6347,114.6078,44.5
深泽,中国,河北省,石家庄市,深泽县,54621,54621,38.1833,115.1833,38.1
赞皇,中国,河北省,石家庄市,赞皇县,53795,53795,37.6581,114.4058,159.3
无极,中国,河北省,石家庄市,无极县,53699,53699,38.1833,114.95,45.4
平山,中国,河北省,石家庄市,平山县,53694,53694,38.2667,114.2167,131
元氏,中国,河北省,石家庄市,元氏县,53791,53791,37.8067,114.4997,68.4
赵县,中国,河北省,石家庄市,赵县,53784,53784,37.75,114.7833,38.5
辛集,中国,河北省,石家庄市,辛集市,54701,54701,37.9333,115.2,35.9
晋州,中国,河北省,石家庄市,晋州市,53689,53689,38.0167,115.0667,42.4
新乐,中国,河北省,石家庄市,新乐市,53695,53695,38.35,114.6833,70.8
唐山,中国,河北省,唐山市,路北区,54534,54534,39.65,118.1,23.2
丰南,中国,河北省,唐山市,丰南区,54533,54533,39.5808,118.0917,8.9
丰润,中国,河北省,唐山市,丰润区,54532,54532,39.8081,118.0781,31.6
曹妃甸,中国,河北省,唐山市,曹妃甸区,54535,54535,39.2858,118.4658,3.2
滦县,中国,河北省,唐山市,滦县,54531,54531,39.7333,118.7167,43
滦南,中国,河北省,唐山市,滦南县,54437,54437,39.505,118.6236,18.3
乐亭,中国,河北省,唐山市,乐亭县,54539,54539,39.4292,118.8867,8.5
迁西,中国,河北省,唐山市,迁西县,54434,54434,40.1703,118.3336,131.6
玉田,中国,河北省,唐山市,玉田县,54522,54522,39.9094,117.7369,17.8
遵化,中国,河北省,唐山市,遵化市,54429,54429,40.2,117.95,54.9
迁安,中国,河北省,唐山市,迁安市,54439,54439,40.0239,118.71,50.9
秦皇岛,中国,河北省,秦皇岛市,市辖区,54449,54449,39.85,119.5167,2.4
抚宁,中国,河北省,秦皇岛市,抚宁区,54541,54541,39.9,119.2333,24.3
青龙,中国,河北省,秦皇岛市,青龙满族自治县,54436,54436,40.4167,118.95,254.3
昌黎,中国,河北省,秦皇岛市,昌黎县,54540,54540,39.7333,119.2,17.6
卢龙,中国,河北省,秦皇岛市,卢龙县,54438,54438,39.8833,118.8833,65
峰峰,中国,河北省,邯郸市,峰峰矿区,53894,53894,36.4,114.2,149.3
肥乡,中国,河北省,邯郸市,肥乡区,53980,53980,36.55,114.8,50.2
永年,中国,河北省,邯郸市,永年区,53895,53895,36.7475,114.4558,111.2
临漳,中国,河北省,邯郸市,临漳县,53773,53773,36.2986,114.595,65.5
成安,中国,河北省,邯郸市,成安县,53996,53996,36.45,114.65,57.9
大名,中国,河北省,邯郸市,大名县,54804,54804,36.3042,115.1814,45.3
涉县,中国,河北省,邯郸市,涉县,53886,53886,36.5667,113.6667,470.4
磁县,中国,河北省,邯郸市,磁县,53897,53897,36.4006,114.3428,87.4
邱县,中国,河北省,邯郸市,邱县,54820,54820,36.81,115.2078,39
鸡泽,中国,河北省,邯郸市,鸡泽县,54640,54640,36.8903,114.8728,36.6
广平,中国,河北省,邯郸市,广平县,53899,53899,36.4833,114.9667,48.5
馆陶,中国,河北省,邯郸市,馆陶县,54809,54809,36.55,115.2833,41.3
魏县,中国,河北省,邯郸市,魏县,53896,53896,36.3278,114.9494,51.6
曲周,中国,河北省,邯郸市,曲周县,53893,53893,36.7889,115.005,37.9
邯郸,中国,河北省,邯郸市,邯郸经济技术开发区,53892,53892,36.6167,114.4667,66.6
武安,中国,河北省,邯郸市,武安市,53890,53890,36.6667,114.1,280.1
邢台,中国,河北省,邢台市,桥西区,53798,53798,37.1808,114.3589,183
临城,中国,河北省,邢台市,临城县,53792,53792,37.45,114.4833,113
内丘,中国,河北省,邢台市,内丘县,53797,53797,37.2908,114.3867,163.6
柏乡,中国,河北省,邢台市,柏乡县,53785,53785,37.5167,114.6667,35
隆尧,中国,河北省,邢台市,隆尧县,53794,53794,37.3903,114.7842,31
任县,中国,河北省,邢台市,任县,53883,53883,37.1333,114.7,36.5
南和,中国,河北省,邢台市,南和县,53891,53891,37.0167,114.6833,43
宁晋,中国,河北省,邢台市,宁晋县,53796,53796,37.6178,114.8914,30.6
巨鹿,中国,河北省,邢台市,巨鹿县,53799,53799,37.2378,114.9989,25.9
新河,中国,河北省,邢台市,新河县,54633,54633,37.5081,115.2706,26.1
广宗,中国,河北省,邢台市,广宗县,54631,54631,37.0939,115.1314,31.4
平乡,中国,河北省,邢台市,平乡县,54632,54632,37.0667,115.0333,34
威县,中国,河北省,邢台市,威县,54800,54800,37,115.25,33.3
清河,中国,河北省,邢台市,清河县,54706,54706,37.0833,115.6667,31.5
